               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,             0.02519,            0.024109,           0.0027396,             0.99428,             0.99827,             0.99498,             0.83326,            0.017415,           0.0091782,           0.0011093,              0.0067,              0.0067,              0.0067
                 102,            0.024396,            0.021007,           0.0024745,             0.99096,             0.99905,             0.99496,             0.82522,            0.018589,            0.009094,           0.0011284,            0.006667,            0.006667,            0.006667
                 103,             0.02616,            0.024866,            0.002877,             0.99351,             0.99883,             0.99496,              0.8182,            0.018089,           0.0092679,           0.0011275,            0.006634,            0.006634,            0.006634
                 104,            0.025098,            0.020746,           0.0024308,             0.98897,             0.99728,             0.99499,              0.8381,            0.017348,           0.0092039,           0.0011169,            0.006601,            0.006601,            0.006601
                 105,            0.024793,            0.022007,            0.002118,             0.99093,             0.99644,             0.99495,             0.81837,            0.018553,           0.0093941,           0.0011123,            0.006568,            0.006568,            0.006568
                 106,              0.0267,             0.02116,           0.0024928,             0.98869,              0.9988,             0.99496,             0.82125,            0.019182,           0.0095128,           0.0010689,            0.006535,            0.006535,            0.006535
                 107,            0.026877,            0.024544,           0.0028528,             0.99657,             0.99735,               0.995,             0.82039,            0.018335,           0.0092963,           0.0010753,            0.006502,            0.006502,            0.006502
                 108,            0.024945,             0.02468,           0.0021524,             0.99584,              0.9953,               0.995,             0.85108,            0.016187,           0.0089693,            0.001098,            0.006469,            0.006469,            0.006469
                 109,            0.025054,            0.024991,           0.0024885,             0.99359,              0.9988,               0.995,             0.84379,            0.015931,           0.0091013,           0.0011154,            0.006436,            0.006436,            0.006436
                 110,            0.022702,            0.021723,           0.0023262,             0.99716,             0.99426,               0.995,             0.84478,            0.015462,           0.0091438,            0.001148,            0.006403,            0.006403,            0.006403
                 111,            0.023336,            0.020921,           0.0029913,             0.99738,             0.99744,             0.99498,             0.83914,            0.015976,           0.0091709,           0.0011558,             0.00637,             0.00637,             0.00637
                 112,             0.02482,            0.021217,           0.0023696,             0.99317,              0.9937,             0.99456,             0.84352,            0.016554,           0.0093074,           0.0011944,            0.006337,            0.006337,            0.006337
                 113,            0.023417,            0.021153,           0.0020272,             0.99795,             0.99552,               0.995,             0.84023,            0.016263,           0.0091846,           0.0009929,            0.006304,            0.006304,            0.006304
                 114,            0.022606,            0.022138,           0.0035394,             0.99733,             0.99801,               0.995,               0.842,            0.015961,           0.0092963,           0.0010013,            0.006271,            0.006271,            0.006271
                 115,            0.022264,            0.021481,           0.0027525,             0.99782,             0.99186,             0.99488,             0.83678,            0.016228,            0.010093,           0.0010281,            0.006238,            0.006238,            0.006238
                 116,            0.023876,            0.023417,           0.0028343,             0.99624,             0.99061,               0.995,             0.83299,            0.016652,           0.0094219,          0.00097771,            0.006205,            0.006205,            0.006205
                 117,            0.024975,            0.024259,           0.0034714,             0.99083,             0.99212,             0.99472,             0.82817,            0.017162,           0.0097713,           0.0011946,            0.006172,            0.006172,            0.006172
                 118,            0.022615,            0.023684,           0.0033263,             0.99093,              0.9957,              0.9949,             0.83559,            0.016886,           0.0092487,           0.0011378,            0.006139,            0.006139,            0.006139
                 119,            0.023356,            0.022236,           0.0019064,             0.99241,             0.99537,             0.99497,             0.83605,            0.015428,           0.0092805,           0.0011308,            0.006106,            0.006106,            0.006106
                 120,            0.023838,             0.02084,           0.0018022,             0.99825,             0.99721,               0.995,             0.83422,            0.016581,           0.0092204,          0.00096607,            0.006073,            0.006073,            0.006073
                 121,            0.023325,            0.021292,           0.0019599,             0.99784,             0.99608,               0.995,             0.84043,             0.01746,           0.0092328,          0.00091073,             0.00604,             0.00604,             0.00604
